"전출지별","전입지별","항목","단위","2021. 03 월","2021. 04 월","2021. 05 월","1970 년","1971 년","1972 년","1973 년","1974 년","1975 년","1976 년","1977 년","1978 년","1979 년","1980 년","1981 년","1982 년","1983 년","1984 년","1985 년","1986 년","1987 년","1988 년","1989 년","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년",
"전국","광주광역시","이동자수","명","20424","17224","16786","","","","","","","","","","","","","","","","","254634","257011","336312","308307","330810","356080","346330","300357","312343","307188","298679","328978","295529","324045","301498","300467","294120","304505","284734","290429","301479","286105","268757","293879","268574","260561","228612","226696","243066","224603","213176","208138","218892","217130","226163",
"전국","광주광역시","순이동자수","명","-1146","-743","-580","","","","","","","","","","","","","","","","","15848","7381","22890","29175","28477","36037","21537","8381","10164","-4021","90","7425","2513","2853","-14","-121","4355","-9687","-3148","-7333","-2730","-4143","447","3108","3531","1279","-1825","-2592","-2977","-9272","-7898","-8118","-6216","-3875","-6083",
"전국","대전광역시","이동자수","명","20487","15976","15358","","","","","","","","","","","","","","","","","","","","256234","296756","310452","295662","335871","315639","314804","287663","295198","267578","322783","312560","304985","302944","304736","280028","287835","294814","283080","263532","252424","262432","264244","239635","230858","239559","220774","219252","211449","212879","212424","232321",
"전국","대전광역시","순이동자수","명","-1274","-828","-517","","","","","","","","","","","","","","","","","","","","26179","33463","36615","24130","38030","30484","17750","14918","9594","12093","9609","8576","6840","8555","5826","2616","3210","2315","-1048","-5610","-5758","-1045","3344","499","311","-8838","-20616","-10631","-16175","-14753","-16342","-11097",
"전국","울산광역시","이동자수","명","12237","10080","9873","","","","","","","","","","","","","","","","","","","","","","","","","","","0","185987","164160","179485","166690","170587","176413","191255","184499","169681","174389","180375","181662","159953","161146","164963","161433","159492","176015","170393","148190","135199","127922","142056","136112",
"전국","울산광역시","순이동자수","명","-2232","-1140","-1093","","","","","","","","","","","","","","","","","","","","","","","","","","","0","3838","-5568","-1900","3216","5988","2625","1872","1764","-392","-2411","-992","3906","-5031","-3525","1872","4006","2307","2786","-80","-7622","-11917","-12654","-10172","-13584",
"전국","세종특별자치시","이동자수","명","6400","4939","4421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32784","23805","56526","83994","65052","82073","86433","82398","78934",
"전국","세종특별자치시","순이동자수","명","987","721","449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17493","8696","33456","53044","29816","34690","31433","23724","13025",
"전국","경기도","이동자수","명","211876","171897","155395","452060","533375","418045","542224","579194","1006818","770036","880019","985879","984187","1085764","806192","971778","1253162","1146201","1211995","1297795","1388645","1450813","1447161","1609933","1472190","1564272","1711603","1807997","1952466","1905357","1950705","1707411","2079470","2042327","2256103","2449422","2304535","2079220","2197321","2459641","2306957","2195585","2175681","2168820","2062422","1944962","1895434","1891775","1993080","1958593","1888324","2041715","1940962","2152572",
"전국","경기도","순이동자수","명","15135","12600","9322","98525","121277","35100","87798","94597","181560","124094","126455","168318","197916","137448","102913","177836","257309","205223","234194","256297","191452","78842","151184","250511","177062","214871","294498","322077","372514","252669","213748","122488","174134","184026","248947","315782","222043","188875","168851","138633","113100","100597","94153","142437","75799","82753","74131","57396","94768","133617","116162","170094","134666","168373",
"전국","강원도","이동자수","명","20811","17827","16609","160959","183964","161637","241663","184385","326365","239946","246070","264577","233897","293328","280036","276861","306128","283921","271814","266248","267082","254715","252860","249409","252140","240866","234899","234353","263349","240874","254242","262688","277214","255403","256767","266880","269296","252902","245689","254508","245182","252193","249191","241738","236077","225896","217917","228369","227125","223484","211653","216398","217626","223354",
"전국","강원도","순이동자수","명","-61","540","892","-36222","-34994","-30734","-35802","-49300","-60210","-41882","-45713","-50777","-50280","-24510","-22376","-29808","-44683","-42202","-28504","-33499","-45132","-52482","-57933","-47637","-38030","-24845","-24586","-18471","-9350","-7870","-922","8890","-3798","-11134","-8113","-17181","-13063","-8342","-11473","-9560","-6146","1310","1818","555","4653","712","2986","2085","4773","1892","2035","-3854","1661","5457",
"전국","충청북도","이동자수","명","20652","18142","16237","100041","111901","99573","122988","125958","246251","164008","163716","182753","167420","227621","199751","207913","230425","222296","226908","222294","223845","225487","224484","263415","258597","244908","242162","227781","249033","234598","252139","232414","255180","235155","230828","243571","246415","231167","235907","245977","253433","244672","232872","235671","228594","212263","215973","215944","214626","202679","197177","218886","211396","229895",
"전국","충청북도","순이동자수","명","-201","882","954","-47875","-44692","-24957","-33921","-40750","-78248","-49003","-56369","-84617","-56244","-38585","-37673","-40296","-44999","-45698","-33530","-28581","-34712","-33900","-29026","-17579","-11131","28","1684","-3569","3771","5624","4924","5542","-1446","-4404","-8528","-8202","-6081","-5817","-4708","1750","5692","6913","2521","5964","8079","4641","3113","2367","1438","5011","2262","5149","2565","3454",
"전국","충청남도","이동자수","명","29230","23313","21553","192979","205632","190175","239750","217167","482034","292314","341491","384579","327162","405973","384250","397886","466795","461768","434868","429259","453191","479092","218897","225074","221453","205298","221321","214126","253838","258224","283331","262993","280280","265599","266541","274820","312739","364482","325444","336866","355213","355294","329626","317853","321187","287195","281428","289627","289952","286764","288738","292305","258790","287127",
"전국","충청남도","순이동자수","명","1190","1180","1253","-47262","-50341","-22371","-38158","-51328","-80524","-51981","-43393","-37483","-45182","-38722","-51106","-49157","-57748","-54868","-36013","-33187","-42602","-41199","-60627","-53746","-45444","-28290","-24259","-20627","1915","12187","14100","9365","-2915","-7742","-11628","-13625","2682","34983","4999","7055","13363","15529","12115","16178","18641","9849","13375","9810","10272","15318","19401","10084","-794","741",
"전국","전라북도","이동자수","명","21930","17228","16396","136856","165843","153347","185754","173873","368163","236947","271557","302745","257738","334630","341182","328446","359443","325918","332232","320907","336104","346268","324263","342446","335219","347781","315824","302520","361364","319791","325923","345687","366647","350628","370943","338554","397299","329911","311537","327237","332957","322495","314137","305789","308011","271835","258198","274337","261832","248188","232047","243324","228775","249083",
