"전출지별","전입지별",2021. 03,2021. 03,2021. 04,2021. 04,2021. 05,2021. 05
"전출지별","전입지별",이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명),이동자수 (명),순이동자수 (명)
"서울특별시","제주특별자치도",924,-24,738,114,663,68
"부산광역시","전국",44336,1955,38175,2085,38941,1525
"부산광역시","서울특별시",2392,960,1454,489,1338,460
"부산광역시","부산광역시",29918,0,27461,0,29266,0
"부산광역시","대구광역시",466,-139,361,1,337,20
"부산광역시","인천광역시",275,36,190,42,201,35
"부산광역시","광주광역시",124,-14,85,-8,78,-2
"부산광역시","대전광역시",229,43,175,50,143,26
"부산광역시","울산광역시",965,-226,725,1,615,-119
"부산광역시","세종특별자치시",97,45,52,3,63,27
"부산광역시","경기도",1855,635,1394,537,1206,374
"부산광역시","강원도",214,40,167,8,166,54
"부산광역시","충청북도",203,25,152,37,161,50
"부산광역시","충청남도",360,122,236,62,214,76
"부산광역시","전라북도",156,4,110,28,110,18
"부산광역시","전라남도",356,75,234,-8,229,33
"부산광역시","경상북도",1149,74,833,168,731,143
"부산광역시","경상남도",5316,257,4312,596,3887,292
"부산광역시","제주특별자치도",261,18,234,79,196,38
"대구광역시","전국",33844,2877,27429,2291,24686,2391
"대구광역시","서울특별시",1794,890,1031,404,929,412
"대구광역시","부산광역시",605,139,360,-1,317,-20
"대구광역시","대구광역시",22334,0,18783,0,16620,0
"대구광역시","인천광역시",181,23,150,48,147,53
"대구광역시","광주광역시",63,-20,47,9,36,6
"대구광역시","대전광역시",250,96,135,19,144,53
"대구광역시","울산광역시",279,-33,204,-5,200,1
"대구광역시","세종특별자치시",79,42,53,26,43,21
"대구광역시","경기도",1448,522,1023,395,935,341
"대구광역시","강원도",219,51,130,16,126,30
"대구광역시","충청북도",230,59,175,68,166,54
"대구광역시","충청남도",277,89,221,68,163,47
"대구광역시","전라북도",88,13,64,7,70,13
"대구광역시","전라남도",129,30,97,34,75,13
"대구광역시","경상북도",4847,844,4175,1124,4046,1315
"대구광역시","경상남도",887,95,664,43,561,27
"대구광역시","제주특별자치도",134,37,117,36,108,25
"인천광역시","전국",40554,176,35240,132,35336,-227
"인천광역시","서울특별시",3774,-374,2945,-663,2826,-703
"인천광역시","부산광역시",239,-36,148,-42,166,-35
"인천광역시","대구광역시",158,-23,102,-48,94,-53
"인천광역시","인천광역시",25388,0,23059,0,23979,0
"인천광역시","광주광역시",130,-93,80,-61,101,-30
"인천광역시","대전광역시",237,-60,180,12,166,9
"인천광역시","울산광역시",63,-37,49,-33,48,-24
"인천광역시","세종특별자치시",100,19,89,46,67,20
"인천광역시","경기도",6999,467,5730,315,5323,63
"인천광역시","강원도",558,73,491,120,420,100
"인천광역시","충청북도",430,93,362,127,386,120
